line_item_id,transaction_id,product_id,promotion_id,quantity,line_item_amount
LI00001,T03649,P013,,1,3063.57
LI00002,T04573,P378,,2,79015.0
LI00003,T17871,P045,,1,1718.99
LI00004,T03071,P112,,2,290.7
LI00005,T18391,P102,,2,9683.82
LI00006,T13747,P113,,1,333.03
LI00007,T00213,P389,,2,92.98
LI00008,T11150,P143,,4,31640.16
LI00009,T11030,P053,PR13,1,31394.22
LI00010,T11271,P310,,1,1994.24
LI00011,T15055,P275,,4,152297.92
LI00012,T02583,P283,,2,12490.72
LI00013,T11851,P296,,1,1870.39
LI00014,T07468,P396,,1,44.77
LI00015,T07629,P444,,1,5144.2
LI00016,T11955,P084,,1,238.86
LI00017,T08749,P360,,2,63691.94
LI00018,T19961,P326,,2,67090.68
LI00019,T05355,P237,,5,1092.35
LI00020,T18251,P113,,3,999.09
LI00021,T01833,P118,,3,48732.69
LI00022,T13146,P138,PR73,3,572.1
LI00023,T10312,P109,,1,4795.65
LI00024,T15036,P074,,1,38464.91
LI00025,T18395,P276,,1,4991.78
LI00026,T19122,P205,,5,1033.95
LI00027,T04533,P261,,2,2432.78
LI00028,T03593,P079,,2,237.8
LI00029,T13834,P306,PR49,1,4573.85
LI00030,T15338,P271,,1,6752.74
LI00031,T00377,P349,,2,16679.12
LI00032,T17596,P385,,2,73309.66
LI00033,T03656,P151,,1,153.0
LI00034,T08631,P498,,1,8199.11
LI00035,T03487,P446,,3,10636.53
LI00036,T16636,P312,,1,7078.42
LI00037,T05294,P277,,4,18274.6
LI00038,T00019,P307,,1,2105.14
LI00039,T11895,P450,,3,67786.74
LI00040,T07847,P030,,1,255.25
LI00041,T02581,P044,,3,148386.96
LI00042,T17456,P393,,2,26993.74
LI00043,T18016,P085,,3,9951.99
LI00044,T13866,P494,,1,1690.07
LI00045,T06592,P366,,5,10485.15
LI00046,T12237,P225,,1,5889.55
LI00047,T08124,P116,PR03,1,7417.5
LI00048,T07541,P302,,1,9179.78
LI00049,T01930,P118,PR05,3,48732.69
LI00050,T02322,P264,,2,3537.42
